,Player,Season,Age,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,MV_Change,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest,Performance_Prev_Season,Overvaluation,Overvaluation_x_Underperformance
1,Aaron Cresswell,2019,0.4815510426384938,-0.2039971070743234,-0.2037273257323506,-0.4118310133649868,-0.3254338814794644,0.1740170085240678,0.1361182774907509,0.0,28,-0.0354520197785519,0.2037273257323506,0.0354520197785519,0,1,0,0,0.0,0.2037273257323506,0.0,0.0,-0.4446620936461931,0.8937533403953094,0.18208197790309164
2,Aaron Cresswell,2020,0.7395740941382024,1.0783445987213565,-0.1740761094738495,-0.7805019617747092,-0.3254338814794644,-0.0039147298415419,-0.2152272403184974,-0.2076393647782444,29,0.0006814609404568,0.1740761094738495,-0.0006814609404567,0,1,0,0,0.0,0.1740761094738495,0.0,0.0,-0.2037273257323506,0.24760174902845147,0.04310154916979333
3,Aaron Cresswell,2021,0.997597145637911,1.577533856777144,-0.3085051107696781,0.2517766937725202,-0.3254338814794644,-0.1694836334039871,-0.4292109079860181,-0.262364264467491,30,0.0522865670969445,0.3085051107696781,-0.0522865670969445,0,1,0,0,0.0,0.3085051107696781,0.0,0.0,-0.1740761094738495,-0.5859283113485942,-0.1807618785956885
5,Aaron Wan-Bissaka,2019,-1.582633369359175,1.5369676868222717,0.2204665177484883,-0.3749639185240128,-0.5967941862443882,-0.3786894535443177,1.157868763445005,1.9459101490553128,20,-0.0834883451309937,0.0,-0.0,1,0,0,0,0.0,0.0,0.0,0.0,-0.1447226301761251,-2.0350037685135463,-0.0
6,Aaron Wan-Bissaka,2020,-1.3246103178594664,1.4648500513469436,0.8222724163921181,0.8047831163871252,2.541601861854613,1.2794299326608385,1.0847813007795275,-0.2231435513142097,21,1.0520399423334323,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.2204665177484883,-1.2498858506828712,-0.0
7,Aaron Wan-Bissaka,2021,-1.0665872663597578,1.4535816708039235,1.4846245793376809,0.7679160215461412,2.541601861854613,1.2794299326608385,1.2667766484442882,0.0,22,1.899473125568634,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.8222724163921181,-1.2862666259967226,-0.0
9,Aarón Martín,2019,-1.3246103178594664,1.248497144920959,-0.2866366312886937,-0.7518275546761936,-0.5967941862443882,0.1740170085240678,0.7014474629675193,0.693147180559945,21,-0.0498796491102747,0.2866366312886937,0.0498796491102746,0,1,0,0,0.0,0.2866366312886937,0.0,0.0,-1.2592823534891118,-0.2548974629826523,-0.07306295011338196
10,Aarón Martín,2020,-1.0665872663597578,0.0247510179489832,-1.4631728009300644,-1.1614619417981202,-0.2544237082699516,0.5487917322268434,0.1759114188938518,-0.4212134650763035,22,-0.8029771359696124,1.4631728009300644,0.8029771359696124,0,0,1,0,0.0,0.0,1.4631728009300644,0.0,-0.2866366312886937,0.763270797227821,1.1167970702479542
11,Aarón Martín,2021,-0.8085642148600493,-0.2592121717351216,-2.1214117749067936,-0.3749639185240158,-0.2544237082699516,-0.1103909093059718,-0.5151426929932572,-0.441832752279039,23,0.2341845748443566,2.1214117749067936,-0.2341845748443565,0,1,0,0,0.0,2.1214117749067936,0.0,0.0,-1.4631728009300644,-0.019639353856075573,-0.04166315652183986
13,Abdoulaye Bamba,2019,0.4815510426384938,0.904811538358848,-0.4737056294303025,-0.4855652030469321,-0.5967941862443882,-1.6620341160466978,-0.8458390670604021,1.0986122886681098,28,0.7873149170765373,0.4737056294303025,-0.7873149170765373,0,0,0,0,0.0,0.0,0.0,0.0,-0.9586728408845407,-2.373022850837681,-1.1241142832085544
