Player,Season,Age,MP,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction
Aaron Cresswell,2018,0.22352799113878521,1.2569907555569837,1.4637232132926417,-0.44466209364619314,-1.0385716256615225,-0.3254338814794644,0.3193978243747237,2.4849066497880004,0.0,27,-0.14202410529250373
Aaron Cresswell,2019,0.4815510426384938,-0.44542328018492305,-0.20399710707432345,-0.20372732573235064,-0.41183101336498684,-0.3254338814794644,0.1740170085240678,2.302585092994046,0.0,28,-0.035452019778551995
Aaron Cresswell,2020,0.7395740941382024,0.7249863693876378,1.0783445987213565,-0.17407610947384952,-0.7805019617747092,-0.3254338814794644,-0.003914729841541999,1.8718021769015913,-0.2076393647782444,29,0.0006814609404568106
Aaron Cresswell,2021,0.997597145637911,1.2569907555569837,1.577533856777144,-0.3085051107696781,0.25177669377252027,-0.3254338814794644,-0.16948363340398717,1.6094379124341003,-0.26236426446749106,30,0.05228656709694458
Aaron Wan-Bissaka,2018,-1.8406564208588836,-1.8286346842252224,-1.2880153153128506,-0.1447226301761251,-0.6699006772517915,-0.5967941862443882,-1.6620341160466978,0.0,0.0,19,0.24053394871672926
Aaron Wan-Bissaka,2019,-1.582633369359175,1.1505898783231145,1.5369676868222717,0.22046651774848838,-0.37496391852401284,-0.5967941862443882,-0.37868945354431777,3.5553480614894135,1.9459101490553132,20,-0.0834883451309937
Aaron Wan-Bissaka,2020,-1.3246103178594664,1.1505898783231145,1.4648500513469436,0.8222724163921181,0.8047831163871252,2.5416018618546135,1.2794299326608383,3.4657359027997265,-0.2231435513142097,21,1.0520399423334323
Aaron Wan-Bissaka,2021,-1.0665872663597578,1.0441890010892454,1.4535816708039235,1.4846245793376807,0.7679160215461412,2.5416018618546135,1.2794299326608383,3.6888794541139363,0.0,22,1.8994731255686341
Aarón Martín,2018,-1.582633369359175,0.8313872466215071,1.1786331855542347,-1.2592823534891118,-0.5224322978879041,-0.5967941862443882,0.1740170085240678,2.4849066497880004,0.18232155679395445,20,-0.2191365480413229
Aarón Martín,2019,-1.3246103178594664,0.9377881238553762,1.248497144920959,-0.28663663128869377,-0.7518275546761936,-0.5967941862443882,0.1740170085240678,2.995732273553991,0.693147180559945,21,-0.0498796491102747
Aarón Martín,2020,-1.0665872663597578,-0.2326215257171847,0.02475101794898324,-1.4631728009300644,-1.1614619417981202,-0.25442370826995164,0.5487917322268434,2.3513752571634776,-0.42121346507630353,22,-0.8029771359696124
Aarón Martín,2021,-0.8085642148600493,-0.5518241574187922,-0.2592121717351216,-2.1214117749067936,-0.3749639185240158,-0.25442370826995164,-0.11039090930597188,1.5040773967762742,-0.44183275227903906,23,0.23418457484435667
Abdoulaye Bamba,2018,0.22352799113878521,-0.6582250346526614,-0.26710003811523564,-0.9586728408845409,-0.6699006772517949,-0.5967941862443882,-1.6620341160466978,0.0,0.0,27,1.5933469676775145
Abdoulaye Bamba,2019,0.4815510426384938,0.6185854921537687,0.9048115383588479,-0.4737056294303025,-0.4855652030469321,-0.5967941862443882,-1.6620341160466978,1.0986122886681098,1.0986122886681098,28,0.7873149170765373
Abdoulaye Bamba,2020,0.7395740941382024,-1.8286346842252224,-1.3702744932768969,-0.8009913627559879,-0.5458373030535345,-0.5967941862443882,-0.931395915612703,0.6931471805599453,-0.22314355131420982,29,0.74604008371198
Abdoulaye Bamba,2021,0.997597145637911,-0.8710267891203998,-0.4766919162154083,-0.5393536473889601,-0.9648374359795794,-0.5967941862443882,-1.1093276539783123,0.1823215567939546,-0.5108256237659907,30,0.598319916322641
Achraf Hakimi,2018,-2.0986794723585924,-1.6158329297574838,-1.1403995301992882,1.122696227200923,1.5421250132065814,-0.5967941862443882,-2.622066224332812,1.6094379124341003,2.8134107167600364,18,-2.9437838575294175
Achraf Hakimi,2019,-1.8406564208588836,-0.33902240295105385,-0.03384456087472094,1.6882429442776834,1.214417503509028,-0.5967941862443882,-0.055376899328052225,3.4011973816621555,1.3862943611198908,19,-0.09348965956655976
Achraf Hakimi,2020,-1.582633369359175,0.9377881238553762,1.0648225420697324,1.6085243165111278,1.4601981357821758,-0.5967941862443882,1.3733485790249838,3.9889840465642745,0.1823215567939549,20,2.2090645844076904
Achraf Hakimi,2021,-1.3246103178594664,1.3633916327908528,1.0084806393546322,0.36586738446359507,1.6895933925704791,1.6856756669185222,1.4573616710264476,4.0943445622221,0.18232155679395445,21,0.5332011027959407
Adrián Marín,2018,-1.582633369359175,-2.254238193160699,-1.73198950870784,-0.8177594285134235,-0.04316006495525592,-0.5967941862443882,-1.6620341160466978,0.0,0.0,20,1.3591440689081606
Adrián Marín,2019,-1.3246103178594664,-1.9350355614590915,-1.6677597396126258,-0.6336480629194224,-0.7067677720927685,-0.5967941862443882,-1.8399658544123072,-0.2231435513142097,0.0,21,1.1658907994862384
Adrián Marín,2020,-1.0665872663597578,-1.2966302980558764,-1.0344767530949,-2.048284930516524,-1.2229070998663933,-0.5967941862443882,-1.8399658544123072,-0.4307829160924542,-0.20763936477824452,22,3.7687743322576894
Adrián Marín,2021,-0.8085642148600493,-1.6158329297574838,-1.691423338752968,-1.107636411725245,-0.9648374359795816,-0.5967941862443882,-1.9464420338767372,0.1823215567939546,0.538996500732687,23,2.155950070034417
Alberto Moreno,2018,-0.29251811186063204,-0.8710267891203998,-0.5679657986138705,0.6823864363008104,1.39465663384269,0.43031724767892143,0.1740170085240678,2.302585092994046,0.0,25,0.11874684630246637
