Player,Season,Age,MP,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest
Aaron Cresswell,2018,0.2235279911387852,1.2569907555569837,1.4637232132926417,-0.4446620936461931,-1.0385716256615225,-0.3254338814794644,0.3193978243747237,2.4849066497880004,0.0,27,-0.1420241052925037,0.4446620936461931,0.14202410529250373,0,1,0,0,0.0,0.4446620936461931,0.0,0.0
Aaron Cresswell,2019,0.4815510426384938,-0.445423280184923,-0.2039971070743234,-0.2037273257323506,-0.4118310133649868,-0.3254338814794644,0.1740170085240678,2.302585092994046,0.0,28,-0.0354520197785519,0.2037273257323506,0.035452019778551995,0,1,0,0,0.0,0.2037273257323506,0.0,0.0
Aaron Cresswell,2020,0.7395740941382024,0.7249863693876378,1.0783445987213565,-0.1740761094738495,-0.7805019617747092,-0.3254338814794644,-0.0039147298415419,1.8718021769015916,-0.2076393647782444,29,0.0006814609404568,0.1740761094738495,-0.0006814609404567932,0,1,0,0,0.0,0.1740761094738495,0.0,0.0
Aaron Cresswell,2021,0.997597145637911,1.2569907555569837,1.577533856777144,-0.3085051107696781,0.2517766937725202,-0.3254338814794644,-0.1694836334039871,1.6094379124341005,-0.262364264467491,30,0.0522865670969445,0.3085051107696781,-0.052286567096944556,0,1,0,0,0.0,0.3085051107696781,0.0,0.0
Aaron Wan-Bissaka,2018,-1.840656420858884,-1.8286346842252224,-1.2880153153128506,-0.1447226301761251,-0.6699006772517915,-0.5967941862443882,-1.6620341160466978,0.0,0.0,19,0.2405339487167292,0.1447226301761251,-0.24053394871672926,0,0,0,0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,2019,-1.582633369359175,1.1505898783231143,1.5369676868222717,0.2204665177484883,-0.3749639185240128,-0.5967941862443882,-0.3786894535443177,3.555348061489413,1.9459101490553128,20,-0.0834883451309937,0.0,-0.0,1,0,0,0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,2020,-1.3246103178594664,1.1505898783231143,1.4648500513469436,0.8222724163921181,0.8047831163871252,2.541601861854613,1.2794299326608385,3.4657359027997265,-0.2231435513142097,21,1.0520399423334323,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,2021,-1.0665872663597578,1.0441890010892454,1.4535816708039235,1.4846245793376809,0.7679160215461412,2.541601861854613,1.2794299326608385,3.688879454113936,0.0,22,1.899473125568634,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0
Aarón Martín,2018,-1.582633369359175,0.8313872466215071,1.178633185554235,-1.2592823534891118,-0.5224322978879041,-0.5967941862443882,0.1740170085240678,2.4849066497880004,0.1823215567939544,20,-0.2191365480413229,1.2592823534891118,0.2191365480413229,0,1,0,0,0.0,1.2592823534891118,0.0,0.0
Aarón Martín,2019,-1.3246103178594664,0.9377881238553762,1.248497144920959,-0.2866366312886937,-0.7518275546761936,-0.5967941862443882,0.1740170085240678,2.995732273553991,0.693147180559945,21,-0.0498796491102747,0.2866366312886937,0.04987964911027469,0,1,0,0,0.0,0.2866366312886937,0.0,0.0
Aarón Martín,2020,-1.0665872663597578,-0.2326215257171847,0.0247510179489832,-1.4631728009300644,-1.1614619417981202,-0.2544237082699516,0.5487917322268434,2.3513752571634776,-0.4212134650763035,22,-0.8029771359696124,1.4631728009300644,0.8029771359696124,0,0,1,0,0.0,0.0,1.4631728009300644,0.0
Aarón Martín,2021,-0.8085642148600493,-0.5518241574187922,-0.2592121717351216,-2.1214117749067936,-0.3749639185240158,-0.2544237082699516,-0.1103909093059718,1.5040773967762742,-0.441832752279039,23,0.2341845748443566,2.1214117749067936,-0.2341845748443565,0,1,0,0,0.0,2.1214117749067936,0.0,0.0
