Player,Season,Age,Min,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Log_MV1,Log_MV2,MV_Change,Age_Original,Perf_MV1_Interaction,Underperformance_Magnitude,Underperformer_Log_MV1_Interaction,MV1_Tier_Low,MV1_Tier_Medium,MV1_Tier_High,MV1_Tier_Highest,Underperf_Low,Underperf_Medium,Underperf_High,Underperf_Highest,Future_Performance,Expected_Future_Performance,Expected_Future_Performance_Log_MV1
Aaron Cresswell,2018,0.2235279911387852,1.4637232132926417,-0.4446620936461931,-1.0385716256615225,-0.3254338814794644,0.3193978243747237,0.2848193038931352,0.0,27,-0.1420241052925037,0.4446620936461931,0.1420241052925037,0,1,0,0,0.0,0.4446620936461931,0.0,0.0,-0.2037273257323506,-0.2397842321169786,-0.07658656205752672
Aaron Cresswell,2019,0.4815510426384938,-0.2039971070743234,-0.2037273257323506,-0.4118310133649868,-0.3254338814794644,0.1740170085240678,0.1361182774907509,0.0,28,-0.0354520197785519,0.2037273257323506,0.0354520197785519,0,1,0,0,0.0,0.2037273257323506,0.0,0.0,-0.1740761094738495,-0.1324518801581726,-0.023048879958513527
Aaron Cresswell,2020,0.7395740941382024,1.0783445987213565,-0.1740761094738495,-0.7805019617747092,-0.3254338814794644,-0.0039147298415419,-0.2152272403184974,-0.2076393647782444,29,0.0006814609404568,0.1740761094738495,-0.0006814609404567,0,1,0,0,0.0,0.1740761094738495,0.0,0.0,-0.3085051107696781,-0.1885282508560857,0.000738037169600016
Aaron Wan-Bissaka,2018,-1.840656420858884,-1.2880153153128506,-0.1447226301761251,-0.6699006772517915,-0.5967941862443882,-1.6620341160466978,-1.7418646266043158,0.0,19,0.2405339487167292,0.1447226301761251,-0.2405339487167292,0,0,0,0,0.0,0.0,0.0,0.0,0.2204665177484883,-0.4859807175663159,0.8077165323360718
Aaron Wan-Bissaka,2019,-1.582633369359175,1.5369676868222717,0.2204665177484883,-0.3749639185240128,-0.5967941862443882,-0.3786894535443177,1.157868763445005,1.9459101490553128,20,-0.0834883451309937,0.0,-0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.8222724163921181,0.16564148033587162,-0.06272668167266307
Aaron Wan-Bissaka,2020,-1.3246103178594664,1.4648500513469436,0.8222724163921181,0.8047831163871252,2.541601861854613,1.2794299326608385,1.0847813007795275,-0.2231435513142097,21,1.0520399423334323,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1.4846245793376809,0.6372756339667243,0.8153495214524392
Aarón Martín,2018,-1.582633369359175,1.178633185554235,-1.2592823534891118,-0.5224322978879041,-0.5967941862443882,0.1740170085240678,0.2848193038931352,0.1823215567939544,20,-0.2191365480413229,1.2592823534891118,0.2191365480413229,0,1,0,0,0.0,1.2592823534891118,0.0,0.0,-0.2866366312886937,-0.4666342950932258,-0.08120230410686023
Aarón Martín,2019,-1.3246103178594664,1.248497144920959,-0.2866366312886937,-0.7518275546761936,-0.5967941862443882,0.1740170085240678,0.7014474629675193,0.693147180559945,21,-0.0498796491102747,0.2866366312886937,0.0498796491102746,0,1,0,0,0.0,0.2866366312886937,0.0,0.0,-1.4631728009300644,-0.12297221002746671,-0.02139925612057313
Aarón Martín,2020,-1.0665872663597578,0.0247510179489832,-1.4631728009300644,-1.1614619417981202,-0.2544237082699516,0.5487917322268434,0.1759114188938518,-0.4212134650763035,22,-0.8029771359696124,1.4631728009300644,0.8029771359696124,0,0,1,0,0.0,0.0,1.4631728009300644,0.0,-2.1214117749067936,-0.6558824504286471,-0.35994286610792403
Abdoulaye Bamba,2018,0.2235279911387852,-0.2671000381152356,-0.9586728408845407,-0.6699006772517949,-0.5967941862443882,-1.6620341160466978,-1.7418646266043158,0.0,27,1.5933469676775145,0.9586728408845407,-1.5933469676775145,0,0,0,0,0.0,0.0,0.0,0.0,-0.4737056294303025,-0.6937409963813552,1.1530212036860412
Abdoulaye Bamba,2019,0.4815510426384938,0.904811538358848,-0.4737056294303025,-0.4855652030469321,-0.5967941862443882,-1.6620341160466978,-0.8458390670604021,1.0986122886681098,28,0.7873149170765373,0.4737056294303025,-0.7873149170765373,0,0,0,0,0.0,0.0,0.0,0.0,-0.8009913627559879,-0.3479122330640811,0.5782420007424928
Abdoulaye Bamba,2020,0.7395740941382024,-1.3702744932768969,-0.8009913627559879,-0.5458373030535345,-0.5967941862443882,-0.931395915612703,-1.176535441127547,-0.2231435513142098,29,0.74604008371198,0.8009913627559879,-0.74604008371198,0,0,0,0,0.0,0.0,0.0,0.0,-0.5393536473889601,-0.5685058487180737,0.5295040254979471
Achraf Hakimi,2018,-2.0986794723585924,-1.1403995301992882,1.122696227200923,1.5421250132065814,-0.5967941862443882,-2.622066224332812,-0.4292109079860181,2.8134107167600364,18,-2.943783857529417,0.0,-0.0,0,0,0,0,0.0,0.0,0.0,0.0,1.6882429442776834,0.43770270794340393,-1.1476854867974087
Achraf Hakimi,2019,-1.840656420858884,-0.0338445608747209,1.6882429442776834,1.214417503509028,-0.5967941862443882,-0.0553768993280522,1.0321438370346645,1.3862943611198908,19,-0.0934896595665597,0.0,-0.0,0,1,0,0,0.0,0.0,0.0,0.0,1.6085243165111278,0.8112296248920676,-0.04492338126958158
Achraf Hakimi,2020,-1.582633369359175,1.0648225420697324,1.6085243165111278,1.4601981357821758,-0.5967941862443882,1.3733485790249838,1.511541237504194,0.1823215567939549,20,2.2090645844076904,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.365867384463595,0.923276586937283,1.2679805887173545
Adrián Marín,2018,-1.582633369359175,-1.73198950870784,-0.8177594285134235,-0.0431600649552559,-0.5967941862443882,-1.6620341160466978,-1.7418646266043158,0.0,20,1.3591440689081606,0.8177594285134235,-1.3591440689081606,0,0,0,0,0.0,0.0,0.0,0.0,-0.6336480629194224,-0.6188085907255856,1.0284809890887014
Adrián Marín,2019,-1.3246103178594664,-1.6677597396126258,-0.6336480629194224,-0.7067677720927685,-0.5967941862443882,-1.8399658544123072,-1.9238599742690763,0.0,21,1.1658907994862384,0.6336480629194224,-1.1658907994862384,0,0,0,0,0.0,0.0,0.0,0.0,-2.048284930516524,-0.6786626618000141,1.2487161243765936
Adrián Marín,2020,-1.0665872663597578,-1.0344767530949,-2.048284930516524,-1.2229070998663931,-0.5967941862443882,-1.8399658544123072,-2.093210144413564,-0.2076393647782445,22,3.7687743322576894,2.048284930516524,-3.7687743322576894,0,0,0,0,0.0,0.0,0.0,0.0,-1.107636411725245,-1.2149081673220696,2.235389544119242
Alberto Moreno,2018,-0.292518111860632,-0.5679657986138705,0.6823864363008104,1.39465663384269,0.4303172476789214,0.1740170085240678,0.1361182774907509,0.0,25,0.1187468463024663,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.5091017475940746,0.42882446402209107,0.07462275041106102
Alberto Moreno,2019,-0.0344950603609234,-1.8210097149976985,0.5091017475940746,2.16886562550312,0.4303172476789214,0.090003916522604,0.0501864924835116,0.0,26,0.0458211511919689,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.1137132557620791,0.44473838694504164,0.04002819665299909
