,team,2017-2018,2018-2019,2019-2020,2020-2021
FRA Ligue 1,Guingamp,-0.27499999999999786,-0.999999999999999,,
FRA Ligue 1,Lens,,,,0.025000000000002274
FRA Ligue 1,Lille,-0.6499999999999977,0.8750000000000012,0.32162355878525833,1.0250000000000021
FRA Ligue 1,Lorient,,,,-0.44999999999999707
FRA Ligue 1,Lyon,1.100000000000003,0.5750000000000007,0.5085615447161532,0.950000000000002
FRA Ligue 1,Marseille,0.825000000000003,0.20000000000000054,0.3414042051690664,0.17500000000000263
FRA Ligue 1,Metz,-1.0499999999999972,,-0.30468373601636334,-0.09999999999999719
FRA Ligue 1,Monaco,1.0000000000000029,-0.47499999999999853,0.013668006147627015,0.8500000000000025
FRA Ligue 1,Montpellier,0.07500000000000277,0.2750000000000013,0.04428282861693877,-0.04999999999999739
FRA Ligue 1,Nantes,-0.12499999999999666,9.143313306604365e-16,-0.03969579271768419,-0.19999999999999746
FRA Ligue 1,Nice,0.025000000000002902,-0.12499999999999832,0.07808803613643535,-0.0749999999999975
FRA Ligue 1,Nimes,,-0.02499999999999839,-0.5286746173610354,-0.7749999999999964
FRA Ligue 1,Paris SG,1.9750000000000025,1.7500000000000007,1.826928539061115,1.4500000000000024
FRA Ligue 1,Reims,,-0.07499999999999966,0.1304743697314622,-0.19999999999999762
FRA Ligue 1,Rennes,0.15000000000000174,0.07500000000000101,0.44666111022642224,0.3000000000000021
FRA Ligue 1,St Etienne,-0.07499999999999728,0.4500000000000012,-0.543644911623853,-0.29999999999999777
FRA Ligue 1,Strasbourg,-0.5749999999999976,0.25000000000000167,-0.040350494704117675,-0.22499999999999767
FRA Ligue 1,Toulouse,-0.39999999999999714,-0.5499999999999986,-1.2228949237376128,
FRA Ligue 1,Troyes,-0.6749999999999969,,,
