Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Offensive_Contribution,Passing_Ability,Defensive_Performance,Team_Impact,Overall_Performance_Index
Adrián Marín,Granada,23,Spain,2020/2021,700000.0,1200000.0,Wing-Back,es La Liga,9,3,269.0,3.0,-0.3608496938064755,-1.0236227966645557,-0.02732062091602444,-0.7477695940889457,-0.4484997840375847
Alberto Moreno,Liverpool,25,Spain,2017/2018,10000000.0,10000000.0,Wing-Back,eng Premier League,16,14,1266.0,14.1,-0.23647332869773194,0.843018492215815,0.6644802259198438,-0.9607146876111551,0.276309234755464
Alberto Moreno,Liverpool,26,Spain,2018/2019,9000000.0,9000000.0,Wing-Back,eng Premier League,2,2,154.0,1.7,-0.07848677901140728,2.020421778620519,-0.7396889023807739,-0.1652481569502971,0.20614347942340702
Alberto Moreno,Villarreal,27,Spain,2019/2020,7500000.0,6000000.0,Wing-Back,es La Liga,18,17,1471.0,16.3,-0.3957385856479578,0.8623924980148677,-0.12446882375647225,-0.07268135739958757,0.04604432475460557
Alberto Moreno,Villarreal,28,Spain,2020/2021,5000000.0,2500000.0,Wing-Back,es La Liga,5,2,193.0,2.1,-0.5258228981521489,-0.034343951349176664,-1.3856546637091627,1.0791008285654322,-0.5434019067246024
Aleix Vidal,Barcelona,27,Spain,2017/2018,7500000.0,7500000.0,Wing-Back,es La Liga,15,4,468.0,5.2,0.6654421460832606,-0.32415848973865846,-0.19916627327660397,1.3565471076072795,0.18453953650423013
Aleix Vidal,Sevilla,28,Spain,2018/2019,5000000.0,4000000.0,Wing-Back,es La Liga,11,5,528.0,5.9,0.5654747983299265,-0.3659320861026672,0.0523157989155445,0.6695245604987927,0.16342240364363098
Aleix Vidal,Alavés,29,Spain,2019/2020,4500000.0,3500000.0,Wing-Back,es La Liga,29,26,2165.0,24.1,0.40599389285190374,-1.7134375635588441,-1.5206794001431012,0.8939359325839644,-0.7494054198258289
Aleix Vidal,Sevilla,30,Spain,2020/2021,3000000.0,2000000.0,Wing-Back,es La Liga,12,5,595.0,6.6,-0.3390211908390157,1.8884046914960648,0.3216007866553537,1.290668229534339,0.6120219139051192
Aleksandar Kolarov,Roma,31,Serbia,2017/2018,10000000.0,12000000.0,Wing-Back,it Serie A,35,34,3060.0,34.0,0.8390199132303878,0.3380938161695586,0.03767846129039726,-0.2941746097089357,0.3199994284922514
Aleksandar Kolarov,Roma,32,Serbia,2018/2019,12000000.0,8000000.0,Wing-Back,it Serie A,33,32,2906.0,32.3,0.8019241183836034,0.4492902578093379,-0.5080493840597555,0.5247631351669438,0.22755882906319544
Aleksandar Kolarov,Roma,33,Serbia,2019/2020,8000000.0,6500000.0,Wing-Back,it Serie A,32,30,2732.0,30.4,0.8911106806946337,0.3446235854554006,0.18803449656719032,0.018573898446399957,0.4211585642153969
Aleksandar Kolarov,Inter,34,Serbia,2020/2021,5000000.0,1500000.0,Wing-Back,it Serie A,7,4,390.0,4.3,-1.038569145100263,1.7997586350251424,0.8209644785862747,-1.1220117684246487,0.31350530588893794
Alessandro Florenzi,Roma,26,Italy,2017/2018,20000000.0,30000000.0,Wing-Back,it Serie A,32,26,2387.0,26.5,0.3197239601324149,0.2911020650221785,-0.5898986532715762,0.5932991490939316,0.021558090559610582
Alessandro Florenzi,Roma,27,Italy,2018/2019,30000000.0,25000000.0,Wing-Back,it Serie A,29,24,2180.0,24.2,0.2885358450385029,-0.022108218306095686,-0.5047809089705172,0.41546291677664887,-0.05409332752698918
Alessandro Florenzi,Roma,28,Italy,2019/2020,20000000.0,16000000.0,Wing-Back,it Serie A,14,12,997.0,11.1,-0.12058669289389444,-0.3287270988841232,-0.6304754110040721,-0.33378808899838797,-0.3724029853404631
Alessandro Florenzi,Paris S-G,29,Italy,2020/2021,10000000.0,13000000.0,Wing-Back,fr Ligue 1,21,18,1538.0,17.1,0.013529264453975324,0.6857508549116225,-0.6903858624735657,-0.7928729688264298,-0.14542585568429278
Alex Sandro,Juventus,26,Brazil,2017/2018,35000000.0,45000000.0,Wing-Back,it Serie A,26,23,2117.0,23.5,0.8488183331361806,1.4395213269937415,0.1895228587445665,0.9760347398828264,0.7784623062381705
Alex Sandro,Juventus,27,Brazil,2018/2019,50000000.0,45000000.0,Wing-Back,it Serie A,31,28,2387.0,26.5,0.3178876046182322,0.9465549434653131,0.10916735976578018,0.6438252052939378,0.4345961136992148
Alex Sandro,Juventus,28,Brazil,2019/2020,50000000.0,40000000.0,Wing-Back,it Serie A,29,27,2385.0,26.5,0.28941136208107465,1.6011385998415186,-0.16079398952228563,-0.6678006250164628,0.3640500997502558
Alex Sandro,Juventus,29,Brazil,2020/2021,35000000.0,20000000.0,Wing-Back,it Serie A,26,20,1858.0,20.6,0.2701206848007858,1.852598080653619,0.41911646172923916,0.5540917323022868,0.7462856604391028
Alfonso Pedraza,Alavés,21,Spain,2017/2018,1000000.0,5000000.0,Wing-Back,es La Liga,33,27,2440.0,27.1,1.0402854321695525,-2.7356805210001425,-0.4996890765334632,-0.48620267046608284,-0.5953459444324902
Alfonso Pedraza,Villarreal,22,Spain,2018/2019,7500000.0,22000000.0,Wing-Back,es La Liga,34,22,2095.0,23.3,1.0066246157935563,-1.6009279255240603,-0.18473636152706813,-1.1013649210155987,-0.2730388152789819
Alfonso Pedraza,Betis,23,Spain,2019/2020,17500000.0,9500000.0,Wing-Back,es La Liga,21,15,1349.0,15.0,0.36009525657484703,-0.398338707113399,0.005565668304357875,-0.8533195766450674,-0.07494007356387714
Alfonso Pedraza,Villarreal,24,Spain,2020/2021,10000000.0,20000000.0,Wing-Back,es La Liga,29,24,2093.0,23.3,0.4432128363623211,-0.3786726019730854,-0.23544330331379887,-0.3539401237872334,-0.07950346812312795
