ID,Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,GA,GA/90,SoTA,SoTA/90,PSxG-GA,PSxG-GA/90,Save%,CS%,CrossAtt,CrossAtt/90,CrossStop%,PKAtt,PKAtt/90,PKSave%,ActOutPA,ActOutPA/90,SPassAtt,SPassAtt/90,SPassCmp,SPassCmp/90,LPassAtt,LPassAtt/90,LPassCmp,LPassCmp/90,SPass%,LPass%,PPM,On-Off
128969,Mathew Ryan,Brighton,25,Australia,2017/2018,3500000,8000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,54.0,1.42,171.0,4.5,7.1,0.19,69.0,26.3,383.0,10.078947368421053,5.0,1.0,0.02631578947368421,66.7,15.0,0.39,163.0,4.2894736842105265,163.0,4.2894736842105265,986.0,25.94736842105263,446.0,11.736842105263158,100.0,45.2,1.05,
128969,Mathew Ryan,Brighton,26,Australia,2018/2019,8000000,10000000,Goalkeeper,eng Premier League,34,34,3060.0,34.0,55.0,1.62,141.0,4.147058823529412,-3.4,-0.1,66.7,17.6,317.0,9.323529411764707,6.0,8.0,0.23529411764705882,0.0,10.0,0.29,141.0,4.147058823529412,138.0,4.0588235294117645,857.0,25.205882352941178,397.0,11.676470588235293,97.9,46.3,0.94,-0.46
128969,Mathew Ryan,Brighton,27,Australia,2019/2020,10000000,8000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,54.0,1.42,164.0,4.315789473684211,3.5,0.09,68.3,23.7,314.0,8.263157894736842,7.6,2.0,0.05263157894736842,0.0,19.0,0.5,541.0,14.236842105263158,537.0,14.131578947368421,707.0,18.605263157894736,426.0,11.210526315789474,99.3,60.3,1.08,
128969,Mathew Ryan,Brighton,28,Australia,2020/2021,8000000,6000000,Goalkeeper,eng Premier League,11,11,990.0,11.0,19.0,1.73,30.0,2.727272727272727,-3.2,-0.29,50.0,18.2,103.0,9.363636363636363,6.8,4.0,0.36363636363636365,0.0,6.0,0.55,160.0,14.545454545454545,160.0,14.545454545454545,177.0,16.09090909090909,92.0,8.363636363636363,100.0,52.0,0.91,-0.42
110923,Mattia Perin,Genoa,24,Italy,2017/2018,15000000,16000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,42.0,1.14,167.0,4.513513513513513,3.5,0.09,77.2,32.4,365.0,9.864864864864865,5.8,4.0,0.10810810810810811,0.0,20.0,0.54,234.0,6.324324324324325,227.0,6.135135135135135,879.0,23.756756756756758,396.0,10.702702702702704,97.0,45.1,1.11,0.76
110923,Mattia Perin,Juventus,25,Italy,2018/2019,15000000,13000000,Goalkeeper,it Serie A,9,9,810.0,9.0,8.0,0.89,26.0,2.888888888888889,-0.9,-0.1,73.1,55.6,81.0,9.0,3.7,1.0,0.1111111111111111,0.0,2.0,0.22,87.0,9.666666666666666,86.0,9.555555555555555,117.0,13.0,68.0,7.555555555555555,98.9,58.1,2.11,-0.36
110923,Mattia Perin,Genoa,26,Italy,2019/2020,10000000,8000000,Goalkeeper,it Serie A,21,21,1890.0,21.0,38.0,1.81,99.0,4.714285714285714,0.0,0.0,62.6,23.8,213.0,10.142857142857142,5.2,1.0,0.047619047619047616,0.0,8.0,0.38,174.0,8.285714285714286,166.0,7.904761904761905,464.0,22.095238095238095,193.0,9.19047619047619,95.4,41.6,1.33,0.68
110923,Mattia Perin,Genoa,27,Italy,2020/2021,7500000,7000000,Goalkeeper,it Serie A,32,32,2879.0,32.0,44.0,1.38,151.0,4.71875,5.2,0.16,75.5,25.0,342.0,10.6875,5.0,7.0,0.21875,0.0,9.0,0.28,271.0,8.46875,265.0,8.28125,721.0,22.53125,321.0,10.03125,97.8,44.5,1.19,1.24
182906,Mike Maignan,Lille,21,France,2017/2018,800000,4000000,Goalkeeper,fr Ligue 1,34,34,3033.0,33.7,53.0,1.57,160.0,4.747774480712166,0.3,0.01,68.8,14.7,301.0,8.931750741839762,11.0,3.0,0.08902077151335311,40.0,32.0,0.95,361.0,10.712166172106825,358.0,10.62314540059347,376.0,11.15727002967359,189.0,5.608308605341246,99.2,50.3,1.09,1.85
182906,Mike Maignan,Lille,22,France,2018/2019,7000000,17500000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,34.0,0.89,118.0,3.1052631578947367,2.3,0.06,76.3,39.5,319.0,8.394736842105264,11.6,6.0,0.15789473684210525,25.0,24.0,0.63,296.0,7.7894736842105265,295.0,7.7631578947368425,707.0,18.605263157894736,304.0,8.0,99.7,43.0,1.97,
