Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating
Leon Goretzka,Bayern Munich,24,Germany,2019/2020,50000000.0,40000000.0,Central Midfielder,de Bundesliga,24,17,1512.0,16.8,1.0089642186015415,1.8888888888888784
Leon Goretzka,Bayern Munich,25,Germany,2020/2021,50000000.0,70000000.0,Central Midfielder,de Bundesliga,24,18,1705.0,18.9,1.1631498989936593,1.527777777777772
Levin Öztunalı,Mainz,21,Germany,2017/2018,6500000.0,5500000.0,Central Midfielder,de Bundesliga,25,21,1741.0,19.3,-0.5093667767451073,-0.3888888888888973
Levin Öztunalı,Mainz,22,Germany,2018/2019,4500000.0,3500000.0,Central Midfielder,de Bundesliga,15,11,921.0,10.2,-0.5575157922778448,-0.3055555555555628
Levin Öztunalı,Mainz,23,Germany,2019/2020,3500000.0,2800000.0,Central Midfielder,de Bundesliga,27,19,1778.0,19.8,-0.0342268243641034,-0.5833333333333444
Levin Öztunalı,Mainz,24,Germany,2020/2021,2800000.0,2500000.0,Central Midfielder,de Bundesliga,17,7,758.0,8.4,-0.1159712517771939,-0.4722222222222283
Lorenzo Pellegrini,Roma,21,Italy,2017/2018,12000000.0,28000000.0,Central Midfielder,it Serie A,28,22,1797.0,20.0,0.6640982793921394,0.8250000000000107
Lorenzo Pellegrini,Roma,22,Italy,2018/2019,35000000.0,35000000.0,Central Midfielder,it Serie A,25,21,1821.0,20.2,0.1898402122933127,0.4500000000000003
Lorenzo Pellegrini,Roma,23,Italy,2019/2020,40000000.0,32000000.0,Central Midfielder,it Serie A,27,26,2097.0,23.3,0.4224619853222893,0.6500000000000031
Lorenzo Pellegrini,Roma,24,Italy,2020/2021,32000000.0,40000000.0,Central Midfielder,it Serie A,34,30,2598.0,28.9,0.4314306314730118,0.3250000000000075
Luis Alberto,Lazio,24,Spain,2017/2018,3000000.0,35000000.0,Central Midfielder,it Serie A,34,32,2669.0,29.7,0.8826294000022481,1.0000000000000109
Luis Alberto,Lazio,25,Spain,2018/2019,28000000.0,28000000.0,Central Midfielder,it Serie A,27,25,1990.0,22.1,0.5761942897616043,0.2500000000000001
Luis Alberto,Lazio,26,Spain,2019/2020,40000000.0,44000000.0,Central Midfielder,it Serie A,36,36,3113.0,34.6,0.9382598522292194,0.9250000000000028
Luis Alberto,Lazio,27,Spain,2020/2021,50000000.0,45000000.0,Central Midfielder,it Serie A,34,33,2618.0,29.1,0.6478200739389943,0.1500000000000073
Luka Modrić,Real Madrid,31,Croatia,2017/2018,40000000.0,25000000.0,Central Midfielder,es La Liga,26,23,1966.0,21.8,0.317559164723855,1.2500000000000029
Luka Modrić,Real Madrid,32,Croatia,2018/2019,25000000.0,20000000.0,Central Midfielder,es La Liga,34,31,2608.0,29.0,0.0491935154058312,0.4250000000000024
Luka Modrić,Real Madrid,33,Croatia,2019/2020,15000000.0,12000000.0,Central Midfielder,es La Liga,31,22,1996.0,22.2,0.4337646696307132,1.124999999999999
Luka Modrić,Real Madrid,34,Croatia,2020/2021,10000000.0,10000000.0,Central Midfielder,es La Liga,35,32,2733.0,30.4,0.3251502787274973,0.9749999999999982
Lukas Lerager,Bordeaux,24,Denmark,2017/2018,2500000.0,6000000.0,Central Midfielder,fr Ligue 1,37,37,3284.0,36.5,-0.0638877745136209,0.1250000000000027
Lukas Lerager,Bordeaux,25,Denmark,2018/2019,6000000.0,6000000.0,Central Midfielder,fr Ligue 1,18,15,1298.0,14.4,-0.2257081760747214,-0.199999999999999
Lukas Lerager,Genoa,26,Denmark,2019/2020,5000000.0,4000000.0,Central Midfielder,it Serie A,21,15,1387.0,15.4,-0.088800140233873,-0.6499999999999967
Lukas Lerager,Genoa,27,Denmark,2020/2021,4000000.0,3000000.0,Central Midfielder,it Serie A,16,13,1159.0,12.9,-0.4450493920862355,-0.2749999999999934
László Bénes,M'gladbach,19,Slovakia,2017/2018,1750000.0,1500000.0,Central Midfielder,de Bundesliga,2,0,38.0,0.4,-0.8162810002325389,-0.1388888888888974
László Bénes,M'gladbach,20,Slovakia,2018/2019,1000000.0,1500000.0,Central Midfielder,de Bundesliga,1,0,27.0,0.3,-1.277833916134584,0.3611111111111041
László Bénes,M'gladbach,21,Slovakia,2019/2020,4000000.0,8000000.0,Central Midfielder,de Bundesliga,22,10,898.0,10.0,0.4070654552911418,0.7222222222222102
László Bénes,Augsburg,22,Slovakia,2020/2021,6000000.0,4000000.0,Central Midfielder,de Bundesliga,12,9,660.0,7.3,-0.2413431962633834,-0.5000000000000056
Mahmoud Dahoud,Dortmund,21,Germany,2017/2018,15000000.0,18000000.0,Central Midfielder,de Bundesliga,23,11,1146.0,12.7,0.2233201529605049,0.4722222222222135
Mahmoud Dahoud,Dortmund,22,Germany,2018/2019,18000000.0,14000000.0,Central Midfielder,de Bundesliga,14,7,697.0,7.7,-0.1379062052252092,1.0277777777777697
Mahmoud Dahoud,Dortmund,23,Germany,2019/2020,10000000.0,6500000.0,Central Midfielder,de Bundesliga,12,6,558.0,6.2,0.2476436812748405,1.1944444444444329
Mahmoud Dahoud,Dortmund,24,Germany,2020/2021,10000000.0,16000000.0,Central Midfielder,de Bundesliga,21,15,1258.0,14.0,0.3783788694044062,0.8055555555555495
Manu Trigueros,Villarreal,25,Spain,2017/2018,15000000.0,20000000.0,Central Midfielder,es La Liga,34,32,2690.0,29.9,-0.1391841052986425,0.1750000000000019
Manu Trigueros,Villarreal,26,Spain,2018/2019,20000000.0,15000000.0,Central Midfielder,es La Liga,24,18,1547.0,17.2,-0.4811055813118353,-0.0749999999999979
Manu Trigueros,Villarreal,27,Spain,2019/2020,12000000.0,12000000.0,Central Midfielder,es La Liga,29,17,1547.0,17.2,0.1373512528691833,0.3499999999999998
Manu Trigueros,Villarreal,28,Spain,2020/2021,11000000.0,12000000.0,Central Midfielder,es La Liga,35,30,2527.0,28.1,-0.0497505501004788,0.4000000000000002
Marcel Sabitzer,RB Leipzig,23,Austria,2017/2018,13000000.0,25000000.0,Central Midfielder,de Bundesliga,22,21,1790.0,19.9,0.4729371384097577,0.1111111111111021
Marcel Sabitzer,RB Leipzig,24,Austria,2018/2019,25000000.0,25000000.0,Central Midfielder,de Bundesliga,30,26,2352.0,26.1,0.3703587806984896,0.9444444444444368
Marcel Sabitzer,RB Leipzig,25,Austria,2019/2020,30000000.0,32000000.0,Central Midfielder,de Bundesliga,32,30,2499.0,27.8,0.9510071887100038,1.2222222222222108
Marcel Sabitzer,RB Leipzig,26,Austria,2020/2021,35000000.0,42000000.0,Central Midfielder,de Bundesliga,27,24,2026.0,22.5,0.4778083453736207,0.7777777777777718
Marco Parolo,Lazio,32,Italy,2017/2018,7000000.0,5000000.0,Central Midfielder,it Serie A,31,30,2612.0,29.0,0.2713661648167456,1.0000000000000109
Marco Parolo,Lazio,33,Italy,2018/2019,4000000.0,3000000.0,Central Midfielder,it Serie A,34,28,2563.0,28.5,0.1587334312752334,0.2500000000000001
Marco Parolo,Lazio,34,Italy,2019/2020,2000000.0,1600000.0,Central Midfielder,it Serie A,29,17,1700.0,18.9,-0.1090935880229267,0.9250000000000028
Marco Parolo,Lazio,35,Italy,2020/2021,1600000.0,1000000.0,Central Midfielder,it Serie A,18,7,653.0,7.3,0.1365110658267422,0.1500000000000073
Marco Verratti,Paris SG,24,Italy,2017/2018,45000000.0,70000000.0,Central Midfielder,fr Ligue 1,22,20,1718.0,19.1,0.497383784771308,1.9750000000000023
Marco Verratti,Paris SG,25,Italy,2018/2019,70000000.0,75000000.0,Central Midfielder,fr Ligue 1,26,23,1879.0,20.9,0.0708682020699262,1.7500000000000009
Marco Verratti,Paris SG,26,Italy,2019/2020,75000000.0,60000000.0,Central Midfielder,fr Ligue 1,20,15,1482.0,16.5,0.5203243926462482,1.826928539061115
Marco Verratti,Paris SG,27,Italy,2020/2021,60000000.0,55000000.0,Central Midfielder,fr Ligue 1,21,16,1492.0,16.6,0.4128312637439244,1.4500000000000024
Marcos Llorente,Real Madrid,22,Spain,2017/2018,15000000.0,12000000.0,Central Midfielder,es La Liga,13,5,554.0,6.2,-0.4200382913939918,1.2500000000000029
Marcos Llorente,Real Madrid,23,Spain,2018/2019,15000000.0,20000000.0,Central Midfielder,es La Liga,7,6,540.0,6.0,-0.1698868116583191,0.4250000000000024
Marcos Llorente,Ath Madrid,24,Spain,2019/2020,30000000.0,16000000.0,Central Midfielder,es La Liga,29,16,1368.0,15.2,0.0571606572376666,0.5999999999999999
Marcos Llorente,Ath Madrid,25,Spain,2020/2021,40000000.0,80000000.0,Central Midfielder,es La Liga,37,33,2956.0,32.8,0.5083659126998166,1.0500000000000005
Mark Noble,West Ham,30,England,2017/2018,7000000.0,7000000.0,Central Midfielder,eng Premier League,29,28,2400.0,26.7,-0.1826282148174856,-0.4999999999999964
Mark Noble,West Ham,31,England,2018/2019,7000000.0,7000000.0,Central Midfielder,eng Premier League,31,29,2291.0,25.5,0.0981450609660303,-0.0749999999999992
Mark Noble,West Ham,32,England,2019/2020,6000000.0,4800000.0,Central Midfielder,eng Premier League,33,32,2674.0,29.7,-0.2988738592389344,-0.3249999999999945
Mark Noble,West Ham,33,England,2020/2021,4500000.0,2000000.0,Central Midfielder,eng Premier League,21,8,712.0,7.9,-0.7667712748515813,0.374999999999997
Marko Rog,Napoli,22,Croatia,2017/2018,10000000.0,8000000.0,Central Midfielder,it Serie A,28,0,289.0,3.2,0.555780746674293,1.2000000000000104
Marko Rog,Sevilla,23,Croatia,2018/2019,8000000.0,6000000.0,Central Midfielder,es La Liga,10,4,357.0,4.0,-0.3881604698712373,0.3750000000000016
Marko Rog,Cagliari,24,Croatia,2019/2020,11000000.0,12000000.0,Central Midfielder,it Serie A,30,28,2317.0,25.7,0.0330027833831142,-0.0999999999999973
Marko Rog,Cagliari,25,Croatia,2020/2021,13000000.0,10000000.0,Central Midfielder,it Serie A,14,14,1165.0,12.9,-0.4091275338313942,-0.3999999999999923
Mateo Kovačić,Real Madrid,23,Croatia,2017/2018,25000000.0,30000000.0,Central Midfielder,es La Liga,21,10,994.0,11.0,-0.0714187974904736,1.2500000000000029
Mateo Kovačić,Chelsea,24,Croatia,2018/2019,35000000.0,35000000.0,Central Midfielder,eng Premier League,32,21,1735.0,19.3,-0.052121122620314,0.6000000000000014
Mateo Kovačić,Chelsea,25,Croatia,2019/2020,45000000.0,36000000.0,Central Midfielder,eng Premier League,31,23,2073.0,23.0,0.1012157305113653,0.3750000000000054
Mateo Kovačić,Chelsea,26,Croatia,2020/2021,40000000.0,45000000.0,Central Midfielder,eng Premier League,27,21,1815.0,20.2,0.0596295051591963,0.5499999999999972
Matías Vecino,Inter,25,Uruguay,2017/2018,13000000.0,21000000.0,Central Midfielder,it Serie A,29,25,2137.0,23.7,0.3024001937243109,0.9000000000000113
Matías Vecino,Inter,26,Uruguay,2018/2019,25000000.0,23000000.0,Central Midfielder,it Serie A,30,23,2015.0,22.4,0.3641165350948858,0.6000000000000001
Matías Vecino,Inter,27,Uruguay,2019/2020,23000000.0,18500000.0,Central Midfielder,it Serie A,20,14,1282.0,14.2,0.1620107969235454,1.1250000000000029
Matías Vecino,Inter,28,Uruguay,2020/2021,16000000.0,8000000.0,Central Midfielder,it Serie A,8,3,283.0,3.1,0.3045942258676803,1.350000000000007
Mauro Arambarri,Getafe,21,Uruguay,2017/2018,1250000.0,3000000.0,Central Midfielder,es La Liga,27,26,2125.0,23.6,-0.7319285866773756,0.225000000000001
Mauro Arambarri,Getafe,22,Uruguay,2018/2019,5000000.0,15000000.0,Central Midfielder,es La Liga,33,32,2676.0,29.7,-0.4062626497646583,0.3250000000000023
Mauro Arambarri,Getafe,23,Uruguay,2019/2020,20000000.0,20000000.0,Central Midfielder,es La Liga,35,34,3069.0,34.1,-0.4236152151463166,0.1500000000000001
Mauro Arambarri,Getafe,24,Uruguay,2020/2021,20000000.0,20000000.0,Central Midfielder,es La Liga,34,33,2983.0,33.1,-0.2228108192990913,-0.3750000000000001
Maxime Lopez,Marseille,19,France,2017/2018,4500000.0,8000000.0,Central Midfielder,fr Ligue 1,24,14,1378.0,15.3,0.2895691604641938,0.825000000000003
Maxime Lopez,Marseille,20,France,2018/2019,8000000.0,15000000.0,Central Midfielder,fr Ligue 1,32,25,2180.0,24.2,0.2490384696999602,0.2000000000000005
Maxime Lopez,Marseille,21,France,2019/2020,17000000.0,12000000.0,Central Midfielder,fr Ligue 1,23,13,1110.0,12.3,-0.1746680125391994,0.3414042051690664
Maxime Lopez,Sassuolo,22,France,2020/2021,10000000.0,10000000.0,Central Midfielder,it Serie A,29,22,1864.0,20.7,-1.132011356607603,0.2000000000000068
Maximilian Arnold,Wolfsburg,23,Germany,2017/2018,10000000.0,10000000.0,Central Midfielder,de Bundesliga,29,28,2454.0,27.3,-0.0853627341205291,-0.3333333333333415
Maximilian Arnold,Wolfsburg,24,Germany,2018/2019,11000000.0,15000000.0,Central Midfielder,de Bundesliga,33,33,2872.0,31.9,0.0936795910821231,0.3333333333333261
Maximilian Arnold,Wolfsburg,25,Germany,2019/2020,18000000.0,14500000.0,Central Midfielder,de Bundesliga,33,32,2821.0,31.3,0.2893204381962171,0.0555555555555442
Maximilian Arnold,Wolfsburg,26,Germany,2020/2021,17000000.0,19000000.0,Central Midfielder,de Bundesliga,30,30,2585.0,28.7,0.7193170772332497,0.6666666666666607
Maximilian Eggestein,Werder Bremen,20,Germany,2017/2018,2000000.0,10000000.0,Central Midfielder,de Bundesliga,33,31,2692.0,29.9,0.0723840898964678,-0.083333333333342
Maximilian Eggestein,Werder Bremen,21,Germany,2018/2019,17000000.0,30000000.0,Central Midfielder,de Bundesliga,34,34,3052.0,33.9,0.2312054654664077,0.2499999999999924
Maximilian Eggestein,Werder Bremen,22,Germany,2019/2020,23000000.0,13000000.0,Central Midfielder,de Bundesliga,32,32,2855.0,31.7,-0.16659872076623,-0.7500000000000118
Maximilian Eggestein,Werder Bremen,23,Germany,2020/2021,11000000.0,7500000.0,Central Midfielder,de Bundesliga,33,33,2942.0,32.7,0.0048680571697374,-0.5833333333333393
Mehdi Abeid,Dijon,24,Algeria,2017/2018,1750000.0,1750000.0,Central Midfielder,fr Ligue 1,19,14,1176.0,13.1,-0.2720016014666218,-0.449999999999997
Mehdi Abeid,Dijon,25,Algeria,2018/2019,1750000.0,1750000.0,Central Midfielder,fr Ligue 1,26,23,2023.0,22.5,-0.1544191454258142,-0.7249999999999981
Mehdi Abeid,Nantes,26,Algeria,2019/2020,1750000.0,2000000.0,Central Midfielder,fr Ligue 1,25,20,1817.0,20.2,-0.1816821206604228,-0.0396957927176841
Mehdi Abeid,Nantes,27,Algeria,2020/2021,2500000.0,2000000.0,Central Midfielder,fr Ligue 1,18,15,1320.0,14.7,-0.5848221762068367,-0.1999999999999974
Mehdi Léris,Chievo,19,France,2017/2018,300000.0,300000.0,Central Midfielder,it Serie A,4,0,42.0,0.5,-2.0242886976797,-0.5749999999999889
Mehdi Léris,Chievo,20,France,2018/2019,800000.0,2500000.0,Central Midfielder,it Serie A,23,18,1607.0,17.9,-0.3194350012960403,-1.249999999999999
Mehdi Léris,Sampdoria,21,France,2019/2020,2500000.0,2300000.0,Central Midfielder,it Serie A,15,3,509.0,5.7,-0.2822154567179345,-0.4249999999999964
Mehdi Léris,Sampdoria,22,France,2020/2021,2300000.0,1500000.0,Central Midfielder,it Serie A,20,3,386.0,4.3,0.118876435254198,-0.0499999999999922
Mickaël Cuisance,M'gladbach,17,France,2017/2018,200000.0,7500000.0,Central Midfielder,de Bundesliga,24,9,1207.0,13.4,-0.2434800531019973,-0.1388888888888974
Mickaël Cuisance,M'gladbach,18,France,2018/2019,6500000.0,5000000.0,Central Midfielder,de Bundesliga,11,1,279.0,3.1,-0.217091727083986,0.3611111111111041
Mickaël Cuisance,Bayern Munich,19,France,2019/2020,12000000.0,8000000.0,Central Midfielder,de Bundesliga,9,3,307.0,3.4,0.1951684091036771,1.8888888888888784
Mickaël Cuisance,Marseille,20,France,2020/2021,10000000.0,7000000.0,Central Midfielder,fr Ligue 1,23,11,1024.0,11.4,-0.9893248412736464,0.1750000000000026
Mikel Merino,Newcastle,21,Spain,2017/2018,2500000.0,10000000.0,Central Midfielder,eng Premier League,24,14,1347.0,15.0,0.4435896876109755,-0.1999999999999971
Mikel Merino,Sociedad,22,Spain,2018/2019,12000000.0,15000000.0,Central Midfielder,es La Liga,29,24,2055.0,22.8,0.2288864250223461,-0.0249999999999982
Mikel Merino,Sociedad,23,Spain,2019/2020,20000000.0,24000000.0,Central Midfielder,es La Liga,36,35,3139.0,34.9,0.7594276516916658,0.2
Mikel Merino,Sociedad,24,Spain,2020/2021,35000000.0,40000000.0,Central Midfielder,es La Liga,26,25,2154.0,23.9,0.3902829424292555,0.5249999999999996
Miralem Pjanić,Juventus,27,Bosnia and Herzegovina,2017/2018,40000000.0,65000000.0,Central Midfielder,it Serie A,31,28,2484.0,27.6,0.7483723890705528,1.5500000000000114
Miralem Pjanić,Juventus,28,Bosnia and Herzegovina,2018/2019,70000000.0,70000000.0,Central Midfielder,it Serie A,31,27,2280.0,25.3,0.2019736321611615,0.9999999999999998
Miralem Pjanić,Juventus,29,Bosnia and Herzegovina,2019/2020,70000000.0,52000000.0,Central Midfielder,it Serie A,30,28,2277.0,25.3,0.4393981800399177,0.8250000000000025
Miralem Pjanić,Barcelona,30,Bosnia and Herzegovina,2020/2021,45000000.0,20000000.0,Central Midfielder,es La Liga,19,6,627.0,7.0,0.2149340408396136,1.175
Morgan Sanson,Marseille,22,France,2017/2018,12000000.0,18000000.0,Central Midfielder,fr Ligue 1,33,25,2165.0,24.1,0.3527557101974815,0.825000000000003
Morgan Sanson,Marseille,23,France,2018/2019,22000000.0,28000000.0,Central Midfielder,fr Ligue 1,33,27,2403.0,26.7,0.2353587338108983,0.2000000000000005
Morgan Sanson,Marseille,24,France,2019/2020,28000000.0,22500000.0,Central Midfielder,fr Ligue 1,27,26,2173.0,24.1,0.0576697625220163,0.3414042051690664
Morgan Sanson,Marseille,25,France,2020/2021,22500000.0,16000000.0,Central Midfielder,fr Ligue 1,12,10,826.0,9.2,-0.6254097371837065,0.1750000000000026
Moussa Sissoko,Tottenham,27,France,2017/2018,20000000.0,18000000.0,Central Midfielder,eng Premier League,32,15,1386.0,15.4,0.3112266064541543,0.9500000000000032
Moussa Sissoko,Tottenham,28,France,2018/2019,18000000.0,25000000.0,Central Midfielder,eng Premier League,29,27,2330.0,25.9,-0.3123853797208278,0.7000000000000012
Moussa Sissoko,Tottenham,29,France,2019/2020,25000000.0,20000000.0,Central Midfielder,eng Premier League,29,28,2452.0,27.2,-0.1793170364878079,0.3500000000000051
Moussa Sissoko,Tottenham,30,France,2020/2021,18000000.0,10000000.0,Central Midfielder,eng Premier League,25,15,1585.0,17.6,-0.5304075118810961,0.5749999999999975
Nabil Bentaleb,Schalke 04,22,Algeria,2017/2018,18000000.0,18000000.0,Central Midfielder,de Bundesliga,16,12,1011.0,11.2,0.0942670636640473,0.4444444444444367
Nabil Bentaleb,Schalke 04,23,Algeria,2018/2019,20000000.0,13000000.0,Central Midfielder,de Bundesliga,25,19,1792.0,19.9,-0.3370947953309045,-0.5000000000000069
Nabil Bentaleb,Newcastle,24,Algeria,2019/2020,10000000.0,4000000.0,Central Midfielder,eng Premier League,12,8,751.0,8.3,-0.5447644503674204,-0.4999999999999952
Nabil Bentaleb,Schalke 04,25,Algeria,2020/2021,2000000.0,2000000.0,Central Midfielder,de Bundesliga,9,6,548.0,6.1,-1.1138205428389854,-1.6944444444444504
Naby Keïta,RB Leipzig,22,Guinea,2017/2018,27000000.0,65000000.0,Central Midfielder,de Bundesliga,27,23,1962.0,21.8,0.4702348133306114,0.1111111111111021
Naby Keïta,Liverpool,23,Guinea,2018/2019,65000000.0,60000000.0,Central Midfielder,eng Premier League,25,16,1390.0,15.4,0.4807223224254876,1.6750000000000018
Naby Keïta,Liverpool,24,Guinea,2019/2020,50000000.0,33500000.0,Central Midfielder,eng Premier League,18,9,815.0,9.1,0.8493965116457858,1.3000000000000054
Naby Keïta,Liverpool,25,Guinea,2020/2021,40000000.0,32000000.0,Central Midfielder,eng Premier League,10,7,520.0,5.8,0.1969901830804853,0.6499999999999976
Nemanja Maksimović,Valencia,22,Serbia,2017/2018,3000000.0,3000000.0,Central Midfielder,es La Liga,14,6,560.0,6.2,-0.1861210926526372,0.6750000000000014
Nemanja Maksimović,Getafe,23,Serbia,2018/2019,5000000.0,15000000.0,Central Midfielder,es La Liga,36,36,3209.0,35.7,-0.265256143589695,0.3250000000000023
Nemanja Maksimović,Getafe,24,Serbia,2019/2020,20000000.0,20000000.0,Central Midfielder,es La Liga,35,33,2895.0,32.2,-0.1819853534621874,0.1500000000000001
Nemanja Maksimović,Getafe,25,Serbia,2020/2021,20000000.0,15000000.0,Central Midfielder,es La Liga,35,34,2728.0,30.3,-0.3559240871764023,-0.3750000000000001
Nicolò Barella,Cagliari,20,Italy,2017/2018,5000000.0,25000000.0,Central Midfielder,it Serie A,34,34,2955.0,32.8,-0.0272405941020968,-0.6999999999999892
Nicolò Barella,Cagliari,21,Italy,2018/2019,30000000.0,36000000.0,Central Midfielder,it Serie A,35,35,3107.0,34.5,-0.2429201596478925,-0.4500000000000002
Nicolò Barella,Inter,22,Italy,2019/2020,45000000.0,36000000.0,Central Midfielder,it Serie A,27,23,2013.0,22.4,0.1498429461848273,1.1250000000000029
Nicolò Barella,Inter,23,Italy,2020/2021,50000000.0,65000000.0,Central Midfielder,it Serie A,36,32,2896.0,32.2,0.144749807132525,1.350000000000007
Pascal Groß,Brighton,26,Germany,2017/2018,4000000.0,10000000.0,Central Midfielder,eng Premier League,38,35,2928.0,32.5,0.0392696587820644,-0.4999999999999962
Pascal Groß,Brighton,27,Germany,2018/2019,10000000.0,10000000.0,Central Midfielder,eng Premier League,25,24,1864.0,20.7,-0.4478455265959181,-0.6249999999999986
Pascal Groß,Brighton,28,Germany,2019/2020,12000000.0,9500000.0,Central Midfielder,eng Premier League,29,22,1796.0,20.0,-0.0097390451148064,-0.374999999999995
Pascal Groß,Brighton,29,Germany,2020/2021,7000000.0,7000000.0,Central Midfielder,eng Premier League,34,27,2484.0,27.6,-0.2520911263765736,-0.1500000000000023
Paul Pogba,Man United,24,France,2017/2018,75000000.0,90000000.0,Central Midfielder,eng Premier League,27,25,2148.0,23.9,1.24299715015692,1.0000000000000036
Paul Pogba,Man United,25,France,2018/2019,80000000.0,100000000.0,Central Midfielder,eng Premier League,35,34,3006.0,33.4,0.8825761518146071,0.2750000000000012
Paul Pogba,Man United,26,France,2019/2020,100000000.0,80000000.0,Central Midfielder,eng Premier League,16,13,1204.0,13.4,0.8500042318090033,0.7500000000000046
Paul Pogba,Man United,27,France,2020/2021,80000000.0,60000000.0,Central Midfielder,eng Premier League,26,21,1897.0,21.1,0.5766715768668248,0.724999999999997
Pedro Obiang,West Ham,25,Equatorial Guinea,2017/2018,9000000.0,8000000.0,Central Midfielder,eng Premier League,21,18,1563.0,17.4,0.0488620758251095,-0.4999999999999964
Pedro Obiang,West Ham,26,Equatorial Guinea,2018/2019,8000000.0,7000000.0,Central Midfielder,eng Premier League,24,12,1128.0,12.5,-0.2576635597051059,-0.0749999999999992
Pedro Obiang,Sassuolo,27,Equatorial Guinea,2019/2020,7000000.0,5500000.0,Central Midfielder,it Serie A,25,18,1674.0,18.6,-0.0360866510218737,0.1500000000000018
Pedro Obiang,Sassuolo,28,Equatorial Guinea,2020/2021,5500000.0,5000000.0,Central Midfielder,it Serie A,33,16,1469.0,16.3,-0.0491285586206142,0.2000000000000068
Pierre Højbjerg,Southampton,21,Denmark,2017/2018,8000000.0,10000000.0,Central Midfielder,eng Premier League,23,19,1670.0,18.6,0.1101295824623032,-0.4749999999999965
Pierre Højbjerg,Southampton,22,Denmark,2018/2019,12000000.0,15000000.0,Central Midfielder,eng Premier League,31,31,2760.0,30.7,0.3833346228488229,-0.5000000000000001
Pierre Højbjerg,Southampton,23,Denmark,2019/2020,15000000.0,12000000.0,Central Midfielder,eng Premier League,33,30,2752.0,30.6,0.146866711237717,-0.2249999999999936
Pierre Højbjerg,Tottenham,24,Denmark,2020/2021,20000000.0,40000000.0,Central Midfielder,eng Premier League,38,38,3420.0,38.0,0.2593764902710505,0.5749999999999975
Pierre Lees-Melou,Nice,24,France,2017/2018,2500000.0,8000000.0,Central Midfielder,fr Ligue 1,34,33,2890.0,32.1,0.031731080716225,0.0250000000000029
Pierre Lees-Melou,Nice,25,France,2018/2019,8000000.0,8000000.0,Central Midfielder,fr Ligue 1,30,26,2394.0,26.6,-0.1098777319272628,-0.1249999999999983
Pierre Lees-Melou,Nice,26,France,2019/2020,8000000.0,8000000.0,Central Midfielder,fr Ligue 1,26,25,2252.0,25.0,0.44128060928099,0.0780880361364353
Pierre Lees-Melou,Nice,27,France,2020/2021,8000000.0,7000000.0,Central Midfielder,fr Ligue 1,29,23,2063.0,22.9,0.1619326198207117,-0.0749999999999975
Rafinha,Inter,24,Brazil,2017/2018,15000000.0,28000000.0,Central Midfielder,it Serie A,17,12,1043.0,11.6,0.8504332690114742,0.9000000000000113
Rafinha,Barcelona,25,Brazil,2018/2019,18000000.0,15000000.0,Central Midfielder,es La Liga,5,3,223.0,2.5,-0.4598752910950608,1.3500000000000014
Rafinha,Celta,26,Brazil,2019/2020,12000000.0,9500000.0,Central Midfielder,es La Liga,29,25,2111.0,23.5,0.2596543130556323,-0.3000000000000005
Rafinha,Paris SG,27,Brazil,2020/2021,9500000.0,15000000.0,Central Midfielder,fr Ligue 1,23,15,1361.0,15.1,0.3865850431185725,1.4500000000000024
Recio,Malaga,26,Spain,2017/2018,3500000.0,2000000.0,Central Midfielder,es La Liga,22,21,1835.0,20.4,-0.4274179036184231,-0.924999999999998
Recio,Leganes,27,Spain,2018/2019,1500000.0,3000000.0,Central Midfielder,es La Liga,18,15,1285.0,14.3,-0.3421075547244329,-0.1499999999999982
Recio,Leganes,28,Spain,2019/2020,3000000.0,2400000.0,Central Midfielder,es La Liga,25,18,1570.0,17.4,-0.545435970712415,-0.5249999999999998
Recio,Eibar,29,Spain,2020/2021,2000000.0,1200000.0,Central Midfielder,es La Liga,17,8,734.0,8.2,-0.5260639057197914,-0.5750000000000002
Remo Freuler,Atalanta,25,Switzerland,2017/2018,7500000.0,14000000.0,Central Midfielder,it Serie A,35,33,3006.0,33.4,0.3401969412879899,0.4500000000000114
Remo Freuler,Atalanta,26,Switzerland,2018/2019,16000000.0,20000000.0,Central Midfielder,it Serie A,35,35,3022.0,33.6,0.2519950869601844,0.775000000000001
Remo Freuler,Atalanta,27,Switzerland,2019/2020,20000000.0,20000000.0,Central Midfielder,it Serie A,31,28,2337.0,26.0,0.2465064889887823,1.250000000000003
Remo Freuler,Atalanta,28,Switzerland,2020/2021,23000000.0,25000000.0,Central Midfielder,it Serie A,34,32,2712.0,30.1,0.5740848224933237,1.075000000000008
Renato Sanches,Swansea,19,Portugal,2017/2018,22000000.0,20000000.0,Central Midfielder,eng Premier League,12,9,702.0,7.8,-0.69492151937295,-0.6999999999999948
Renato Sanches,Bayern Munich,20,Portugal,2018/2019,20000000.0,18000000.0,Central Midfielder,de Bundesliga,17,4,577.0,6.4,0.1751161999894587,1.5555555555555487
Renato Sanches,Lille,21,Portugal,2019/2020,18000000.0,16000000.0,Central Midfielder,fr Ligue 1,19,16,1483.0,16.5,-0.8301170001385261,0.3216235587852583
Renato Sanches,Lille,22,Portugal,2020/2021,20000000.0,30000000.0,Central Midfielder,fr Ligue 1,23,14,1270.0,14.1,0.1405693541180403,1.025000000000002
