Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating
Aleix Vidal,Barcelona,27,Spain,2017/2018,7500000.0,7500000.0,Wing-Back,es La Liga,15,4,468.0,5.2,0.1845395365042301,1.7500000000000022
Aleix Vidal,Sevilla,28,Spain,2018/2019,5000000.0,4000000.0,Wing-Back,es La Liga,11,5,528.0,5.9,0.1634224036436309,0.3750000000000016
Aleix Vidal,Alaves,29,Spain,2019/2020,4500000.0,3500000.0,Wing-Back,es La Liga,29,26,2165.0,24.1,-0.7494054198258289,-0.6250000000000007
Aleix Vidal,Sevilla,30,Spain,2020/2021,3000000.0,2000000.0,Wing-Back,es La Liga,12,5,595.0,6.6,0.6120219139051192,0.5
Aleksandar Kolarov,Roma,31,Serbia,2017/2018,10000000.0,12000000.0,Wing-Back,it Serie A,35,34,3060.0,34.0,0.3199994284922514,0.8250000000000107
Aleksandar Kolarov,Roma,32,Serbia,2018/2019,12000000.0,8000000.0,Wing-Back,it Serie A,33,32,2906.0,32.3,0.2275588290631954,0.4500000000000003
Aleksandar Kolarov,Roma,33,Serbia,2019/2020,8000000.0,6500000.0,Wing-Back,it Serie A,32,30,2732.0,30.4,0.4211585642153969,0.6500000000000031
Aleksandar Kolarov,Inter,34,Serbia,2020/2021,5000000.0,1500000.0,Wing-Back,it Serie A,7,4,390.0,4.3,0.3135053058889379,1.350000000000007
Alessandro Florenzi,Roma,26,Italy,2017/2018,20000000.0,30000000.0,Wing-Back,it Serie A,32,26,2387.0,26.5,0.0215580905596105,0.8250000000000107
Alessandro Florenzi,Roma,27,Italy,2018/2019,30000000.0,25000000.0,Wing-Back,it Serie A,29,24,2180.0,24.2,-0.0540933275269891,0.4500000000000003
Alessandro Florenzi,Roma,28,Italy,2019/2020,20000000.0,16000000.0,Wing-Back,it Serie A,14,12,997.0,11.1,-0.3724029853404631,0.6500000000000031
Alessandro Florenzi,Paris SG,29,Italy,2020/2021,10000000.0,13000000.0,Wing-Back,fr Ligue 1,21,18,1538.0,17.1,-0.1454258556842927,1.4500000000000024
Alex Sandro,Juventus,26,Brazil,2017/2018,35000000.0,45000000.0,Wing-Back,it Serie A,26,23,2117.0,23.5,0.7784623062381705,1.5500000000000114
Alex Sandro,Juventus,27,Brazil,2018/2019,50000000.0,45000000.0,Wing-Back,it Serie A,31,28,2387.0,26.5,0.4345961136992148,0.9999999999999998
Alex Sandro,Juventus,28,Brazil,2019/2020,50000000.0,40000000.0,Wing-Back,it Serie A,29,27,2385.0,26.5,0.3640500997502558,0.8250000000000025
Alex Sandro,Juventus,29,Brazil,2020/2021,35000000.0,20000000.0,Wing-Back,it Serie A,26,20,1858.0,20.6,0.7462856604391028,0.9750000000000068
Alfonso Pedraza,Alaves,21,Spain,2017/2018,1000000.0,5000000.0,Wing-Back,es La Liga,33,27,2440.0,27.1,-0.5953459444324902,-0.2499999999999984
Alfonso Pedraza,Villarreal,22,Spain,2018/2019,7500000.0,22000000.0,Wing-Back,es La Liga,34,22,2095.0,23.3,-0.2730388152789819,-0.0749999999999979
Alfonso Pedraza,Betis,23,Spain,2019/2020,17500000.0,9500000.0,Wing-Back,es La Liga,21,15,1349.0,15.0,-0.0749400735638771,-0.3000000000000002
