Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index,Team_Rating
Alban Lafont,Toulouse,18,France,2017/2018,8000000,18000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.3041804198694023,-0.6194779073367921,1.1867785582672872,-0.3227139421805216,-0.0445748242954842,-0.3999999999999971
Alban Lafont,Fiorentina,19,France,2018/2019,13000000,17000000,Goalkeeper,it Serie A,34,34,3015.0,33.5,-0.3855414988560988,-0.7528364726930691,0.6421589179349264,0.0711827813834234,-0.1886609934653537,0.0500000000000004
Alban Lafont,Nantes,20,France,2019/2020,12000000,11000000,Goalkeeper,fr Ligue 1,27,27,2430.0,27.0,-0.3760218581875284,-0.87362188609975,0.9861924097767986,0.5947176691152621,-0.0640173718703056,-0.0396957927176841
Alban Lafont,Nantes,21,France,2020/2021,12500000,10000000,Goalkeeper,fr Ligue 1,38,38,3420.0,38.0,-0.8245424928972758,-0.2869991777069634,0.784606905824188,-0.6942174848462933,-0.2145662316926531,-0.1999999999999974
Alessio Cragno,Cagliari,23,Italy,2017/2018,3500000,9000000,Goalkeeper,it Serie A,29,29,2536.0,28.2,-0.9129431561016514,-0.5249525118407778,1.0298063635533932,-0.6951701966153828,-0.2587931067736442,-0.6999999999999892
Alessio Cragno,Cagliari,24,Italy,2018/2019,13000000,20000000,Goalkeeper,it Serie A,38,38,3420.0,38.0,-0.2198068373920208,1.4734658392660385,1.3039068468963653,-0.9237355549645022,0.6481777128745242,-0.4500000000000002
Alessio Cragno,Cagliari,25,Italy,2019/2020,20000000,16000000,Goalkeeper,it Serie A,16,16,1440.0,16.0,-0.3378328415218381,1.7545410964365769,-0.2395757278795136,-1.0109566197533706,0.3180937484394583,-0.0999999999999973
Alessio Cragno,Cagliari,26,Italy,2020/2021,20000000,20000000,Goalkeeper,it Serie A,34,34,3060.0,34.0,-0.3658785594606821,0.9839734821218732,0.0855387266093925,-1.2794273363245012,0.0823916600811579,-0.3999999999999923
Alex McCarthy,Southampton,27,England,2017/2018,3000000,2500000,Goalkeeper,eng Premier League,18,18,1620.0,18.0,-0.957579147269512,-0.7578333633093348,-0.0853593452034851,-0.5867039064262876,-0.6139818862404596,-0.4749999999999965
Alex McCarthy,Southampton,28,England,2018/2019,4000000,5000000,Goalkeeper,eng Premier League,25,25,2250.0,25.0,-0.6894851420158021,-0.4920241512400364,-0.2237260516454529,-1.2077162840604572,-0.581668693958395,-0.5000000000000001
Alex McCarthy,Southampton,29,England,2019/2020,5000000,4000000,Goalkeeper,eng Premier League,28,28,2520.0,28.0,-0.1795581615341146,0.1952001683782363,-0.0867981095642547,0.0598995866204113,0.010715929150852,-0.2249999999999936
Alex McCarthy,Southampton,30,England,2020/2021,6500000,5000000,Goalkeeper,eng Premier League,30,30,2700.0,30.0,-0.5621602633340977,-0.621024154202169,-0.0499331935012653,-1.176025754011765,-0.5467856812813646,-0.5250000000000021
Alex Meret,Spal,20,Italy,2017/2018,4000000,12000000,Goalkeeper,it Serie A,13,13,1158.0,12.9,-0.8130221613862592,1.4835052793336605,0.8791081361008469,-0.1157523654150955,0.5183854866331638,-0.4999999999999886
Alex Meret,Napoli,21,Italy,2018/2019,16000000,25000000,Goalkeeper,it Serie A,14,13,1151.0,12.8,-0.0206708630393742,1.070690957755245,-0.2730769593656649,1.007032540255017,0.4523597606513285,0.95
Alex Meret,Napoli,22,Italy,2019/2020,30000000,28000000,Goalkeeper,it Serie A,22,21,1951.0,21.7,-0.6848167809941275,-0.8090965232132742,-0.8090186466944471,-0.2176431698418662,-0.6892891155230695,0.2750000000000023
Alex Meret,Napoli,23,Italy,2020/2021,25000000,20000000,Goalkeeper,it Serie A,22,22,1980.0,22.0,0.1117456400651103,-0.3283719831854566,-1.1453175612180984,0.3320235347673047,-0.3235196441880611,1.125000000000007
Alexander Nübel,Schalke 04,20,Germany,2017/2018,300000,500000,Goalkeeper,de Bundesliga,1,0,45.0,0.5,0.1992005499459092,2.214546915924147,-2.6683268703280683,1.6715022671877182,0.4085351805560694,0.4444444444444367
Alexander Nübel,Schalke 04,21,Germany,2018/2019,2500000,12000000,Goalkeeper,de Bundesliga,18,18,1588.0,17.6,-0.266883742659286,-0.2189669890103877,0.5742585228082149,-0.7829407734422742,-0.1172358671327446,-0.5000000000000069
Alexander Nübel,Schalke 04,22,Germany,2019/2020,16000000,9500000,Goalkeeper,de Bundesliga,26,26,2315.0,25.7,0.4757403924386148,-0.1172250517558377,-0.1551731284628191,-0.756027239309348,-0.0742910380169964,-0.555555555555567
Alexander Nübel,Bayern Munich,23,Germany,2020/2021,8000000,6000000,Goalkeeper,de Bundesliga,1,1,90.0,1.0,0.3635042213545024,0.5845941624726948,-3.23442868250038,-1.846510946497308,-0.7900998003956226,1.527777777777772
Alexander Schwolow,Freiburg,25,Germany,2017/2018,4000000,6000000,Goalkeeper,de Bundesliga,33,33,2906.0,32.3,0.3112696460661439,-0.4920018185312618,-0.0013475342347018,-1.2093387377599345,-0.2761209191920712,-0.6666666666666755
Alexander Schwolow,Freiburg,26,Germany,2018/2019,7000000,9000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,-0.1996967190606025,0.3913034943090052,-0.9308783989677244,-2.1309854041428764,-0.4653353671203614,-0.4166666666666745
Alexander Schwolow,Freiburg,27,Germany,2019/2020,9000000,7000000,Goalkeeper,de Bundesliga,24,24,2091.0,23.2,0.5124612630270932,0.9430952346046122,-0.0732349886248011,-1.0501161250916191,0.2823724819484443,0.0277777777777669
Alexander Schwolow,Hertha,28,Germany,2020/2021,8000000,5000000,Goalkeeper,de Bundesliga,26,26,2340.0,26.0,0.3656224842649251,-0.1910616909223519,-0.0721478668926842,-0.499822821543996,-0.0684763607113623,-0.3055555555555619
Alfred Gomis,Spal,23,Senegal,2017/2018,1800000,3000000,Goalkeeper,it Serie A,26,25,2261.0,25.1,-0.4573000402464104,0.8645527615820413,0.711581393656259,-1.3053893037061153,0.1703554093502593,-0.4999999999999886
Alfred Gomis,Spal,24,Senegal,2018/2019,3000000,2000000,Goalkeeper,it Serie A,20,19,1724.0,19.2,0.0633459991694011,-0.2675954565104469,-0.7537459456244585,-0.6987288788719336,-0.3710677282232108,-0.2999999999999992
Alfred Gomis,Dijon,25,Senegal,2019/2020,3000000,2400000,Goalkeeper,fr Ligue 1,19,19,1619.0,18.0,0.8206008746701761,1.59115172327675,0.9121741334516034,-0.4367887797890641,0.9245785382089476,-0.3276597807046766
Alfred Gomis,Rennes,26,Senegal,2020/2021,9000000,7000000,Goalkeeper,fr Ligue 1,22,22,1980.0,22.0,-0.1608455658409786,-0.5405846620670676,-0.5190339628261015,-0.0484546561456644,-0.3664427123120933,0.3000000000000021
Alisson,Roma,24,Brazil,2017/2018,7000000,60000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,0.8140288349713194,0.8617318708759291,1.2063416403610534,1.3728887474733276,1.0126320857606674,0.8250000000000107
Alisson,Liverpool,25,Brazil,2018/2019,65000000,80000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.7964880795730437,-0.1975133013001081,-0.4315627959126948,2.061629693364648,0.3313461194647465,1.6750000000000018
Alisson,Liverpool,26,Brazil,2019/2020,90000000,72000000,Goalkeeper,eng Premier League,29,29,2543.0,28.3,0.8267273126939401,-0.9193643570899508,-0.1606060553338521,1.4888166672369083,0.0680752894440754,1.3000000000000054
Alisson,Liverpool,27,Brazil,2020/2021,80000000,60000000,Goalkeeper,eng Premier League,33,33,2970.0,33.0,0.8051981039448679,-0.1865551048138209,0.6369830627951526,0.9402000584228526,0.4362810137635956,0.6499999999999976
Alphonse Areola,Paris SG,24,France,2017/2018,10000000,15000000,Goalkeeper,fr Ligue 1,34,34,3060.0,34.0,-0.1173268820202991,-0.4739990484736326,-0.1083006979310299,2.29173019491279,0.1214529672833147,1.9750000000000023
Alphonse Areola,Paris SG,25,France,2018/2019,15000000,17500000,Goalkeeper,fr Ligue 1,21,21,1890.0,21.0,-0.2194658687394384,0.2824403844686849,-0.7797696012325216,1.8021515803590176,0.1193680041249024,1.7500000000000009
Alphonse Areola,Real Madrid,26,France,2019/2020,16000000,13000000,Goalkeeper,es La Liga,4,4,360.0,4.0,-0.0798458350987262,-0.4846273036924524,0.1806826712612409,0.6603673134405248,-0.0453552502356509,1.124999999999999
Alphonse Areola,Fulham,27,France,2020/2021,13000000,17000000,Goalkeeper,eng Premier League,36,36,3240.0,36.0,-0.2419295353452144,0.6289874709661684,0.4380124958987009,-0.2611887188721473,0.2299880471457084,-0.6500000000000021
Andrea Consigli,Sassuolo,30,Italy,2017/2018,8000000,5000000,Goalkeeper,it Serie A,37,37,3316.0,36.8,0.0881210292299297,-0.1510168116116611,1.2927743260806872,-0.6764888318475317,0.1908946299864431,-0.7499999999999892
Andrea Consigli,Sassuolo,31,Italy,2018/2019,5000000,4000000,Goalkeeper,it Serie A,36,36,3213.0,35.7,-0.0816160562168482,-0.9369390081613874,0.9581366035303576,-0.2087286421771973,-0.1401078123546879,-0.1749999999999993
Andrea Consigli,Sassuolo,32,Italy,2019/2020,3500000,2800000,Goalkeeper,it Serie A,31,31,2790.0,31.0,-0.4756470758044959,-0.5197562194054911,0.3691449445400432,-0.77852637444862,-0.325319165775328,0.1500000000000018
