Player,Team,Age,Nationality,Season,MV1,MV2,Position,Comp,MP,Starts,Min,90s,Passing_Ability,Shot-Stopping,Territorial_Command,Team_Impact,Overall_Performance_Index
Alexander Nübel,Schalke 04,20,Germany,2017/2018,300000,500000,Goalkeeper,de Bundesliga,1,0,45.0,0.5,0.19920054994590924,2.214546915924147,-2.6683268703280683,1.6715022671877182,0.4085351805560694
Alexander Nübel,Schalke 04,21,Germany,2018/2019,2500000,12000000,Goalkeeper,de Bundesliga,18,18,1588.0,17.6,-0.266883742659286,-0.21896698901038777,0.5742585228082149,-0.7829407734422742,-0.1172358671327446
Alexander Nübel,Schalke 04,22,Germany,2019/2020,16000000,9500000,Goalkeeper,de Bundesliga,26,26,2315.0,25.7,0.4757403924386148,-0.11722505175583778,-0.15517312846281914,-0.756027239309348,-0.07429103801699649
Alexander Nübel,Bayern Munich,23,Germany,2020/2021,8000000,6000000,Goalkeeper,de Bundesliga,1,1,90.0,1.0,0.3635042213545024,0.5845941624726948,-3.23442868250038,-1.846510946497308,-0.7900998003956226
Alexander Schwolow,Freiburg,25,Germany,2017/2018,4000000,6000000,Goalkeeper,de Bundesliga,33,33,2906.0,32.3,0.31126964606614393,-0.49200181853126185,-0.0013475342347018847,-1.2093387377599343,-0.27612091919207127
Alexander Schwolow,Freiburg,26,Germany,2018/2019,7000000,9000000,Goalkeeper,de Bundesliga,33,33,2970.0,33.0,-0.1996967190606025,0.39130349430900524,-0.9308783989677245,-2.1309854041428764,-0.4653353671203614
Alexander Schwolow,Freiburg,27,Germany,2019/2020,9000000,7000000,Goalkeeper,de Bundesliga,24,24,2091.0,23.2,0.5124612630270932,0.9430952346046122,-0.07323498862480114,-1.0501161250916191,0.28237248194844433
Alexander Schwolow,Hertha BSC,28,Germany,2020/2021,8000000,5000000,Goalkeeper,de Bundesliga,26,26,2340.0,26.0,0.36562248426492516,-0.19106169092235195,-0.07214786689268422,-0.49982282154399604,-0.06847636071136234
Alfred Gomis,SPAL,23,Senegal,2017/2018,1800000,3000000,Goalkeeper,it Serie A,26,25,2261.0,25.1,-0.45730004024641047,0.8645527615820413,0.711581393656259,-1.3053893037061153,0.17035540935025933
Alfred Gomis,SPAL,24,Senegal,2018/2019,3000000,2000000,Goalkeeper,it Serie A,20,19,1724.0,19.2,0.0633459991694011,-0.26759545651044697,-0.7537459456244585,-0.6987288788719336,-0.3710677282232108
Alfred Gomis,Dijon,25,Senegal,2019/2020,3000000,2400000,Goalkeeper,fr Ligue 1,19,19,1619.0,18.0,0.8206008746701761,1.59115172327675,0.9121741334516034,-0.43678877978906416,0.9245785382089476
Alfred Gomis,Rennes,26,Senegal,2020/2021,9000000,7000000,Goalkeeper,fr Ligue 1,22,22,1980.0,22.0,-0.1608455658409786,-0.5405846620670676,-0.5190339628261015,-0.04845465614566441,-0.36644271231209335
Alisson,Roma,24,Brazil,2017/2018,7000000,60000000,Goalkeeper,it Serie A,37,37,3330.0,37.0,0.8140288349713194,0.8617318708759291,1.2063416403610534,1.3728887474733276,1.0126320857606674
Alisson,Liverpool,25,Brazil,2018/2019,65000000,80000000,Goalkeeper,eng Premier League,38,38,3420.0,38.0,0.7964880795730437,-0.1975133013001081,-0.4315627959126948,2.061629693364648,0.33134611946474657
Alisson,Liverpool,26,Brazil,2019/2020,90000000,72000000,Goalkeeper,eng Premier League,29,29,2543.0,28.3,0.8267273126939401,-0.9193643570899508,-0.16060605533385214,1.4888166672369083,0.06807528944407545
