Player,Team,Age,Season,MV1,MV2,MP,Starts,Min,90s,Overall_Performance_Index,Team_Rating,Latest_Transfer_Fee,Delta_MV,Log_MV1,Log_MV2,Log_Return_MV,Age_Original,Perf_MV1_Interaction,Comp_eng Premier League,Comp_es La Liga,Comp_fr Ligue 1,Comp_it Serie A,Nationality_France,Nationality_Germany,Nationality_Italy,Nationality_Other,Nationality_Spain,Position_Central Midfielder,Position_Centre-Back,Position_Centre-Forward,Position_Defensive Midfielder,Position_Goalkeeper,Position_Wing-Back,Position_Winger
Adrián Marín,Alaves,-1.0665872663597578,2019/2020,0.8,0.65,-1.2966302980558764,9,-1.0344767530949,9.5,-2.048284930516524,-1.2229070998663933,-0.5967941862443882,-18.750000000000004,-1.8399658544123072,-0.4307829160924542,-0.20763936477824452,22,3.7687743322576894,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Adrián Marín,Granada,-0.8085642148600493,2020/2021,0.7,1.2,-1.6158329297574838,3,-1.691423338752968,3.0,-1.107636411725245,-0.9648374359795816,-0.5967941862443882,71.42857142857143,-1.9464420338767372,0.1823215567939546,0.538996500732687,23,2.155950070034417,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Alberto Moreno,Liverpool,-0.29251811186063204,2017/2018,10.0,10.0,-0.8710267891203998,14,-0.5679657986138705,14.1,0.6823864363008104,1.39465663384269,0.43031724767892143,0.0,0.1740170085240678,2.302585092994046,0.0,25,0.11874684630246637,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Alberto Moreno,Liverpool,-0.0344950603609234,2018/2019,9.0,9.0,-2.3606390703945683,2,-1.8210097149976983,1.7,0.5091017475940746,2.16886562550312,0.43031724767892143,0.0,0.09000391652260402,2.1972245773362196,0.0,26,0.04582115119196891,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Alberto Moreno,Villarreal,0.22352799113878521,2019/2020,7.5,6.0,-0.6582250346526614,17,-0.3369639974819599,16.3,0.11371325576207912,0.21490959893155148,-0.5967941862443882,-20.0,-0.055376899328052225,1.791759469228055,-0.2231435513142097,27,-0.00629708751660171,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Alberto Moreno,Villarreal,0.4815510426384938,2020/2021,5.0,2.5,-2.0414364386929607,2,-1.7770630308799202,2.1,-1.3420112105085336,0.2886437886134979,-0.5967941862443882,-50.0,-0.37868945354431777,0.9162907318741551,-0.6931471805599452,28,0.5082054919578249,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aleix Vidal,Barcelona,0.22352799113878521,2017/2018,7.5,7.5,-0.9774276663542689,4,-1.4671825659468694,5.2,0.45574762198292645,2.2794669100260387,0.37325550134984875,0.0,-0.055376899328052225,2.0149030205422647,0.0,27,-0.02523789018154772,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aleix Vidal,Sevilla,0.4815510426384938,2018/2019,5.0,4.0,-1.4030311752897455,5,-1.3995722826887491,5.9,0.4035957456607759,0.25177669377252704,-0.06611994538401159,-20.0,-0.37868945354431777,1.3862943611198906,-0.2231435513142097,28,-0.15283745237709068,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aleix Vidal,Alaves,0.7395740941382024,2019/2020,4.5,3.5,0.5121846149198995,26,0.4450616122036305,24.1,-1.8507672906120538,-1.2229070998663933,-0.06611994538401159,-22.22222222222222,-0.46270254554578133,1.252762968495368,-0.2513144282809061,29,0.8563547365790661,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aleix Vidal,Sevilla,0.997597145637911,2020/2021,3.0,2.0,-1.2966302980558764,5,-1.3240741330505148,6.6,1.511478446014758,0.43611216797738933,-0.06611994538401159,-33.33333333333333,-0.7860150997620469,0.6931471805599453,-0.4054651081081645,30,-1.1880448815324736,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Aleksandar Kolarov,Roma,1.2556201971376195,2017/2018,10.0,12.0,1.1505898783231145,34,1.4535816708039235,34.0,0.790285818063145,0.915384400910053,-0.3114854545990244,20.0,0.1740170085240678,2.4849066497880004,0.18232155679395445,31,0.1375231739383442,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Aleksandar Kolarov,Roma,1.5136432486373281,2018/2019,12.0,8.0,0.9377881238553762,32,1.280048610441415,32.3,0.5619901142668866,0.3623779782954439,-0.3114854545990244,-33.33333333333333,0.3193978243747237,2.0794415416798357,-0.4054651081081646,32,0.17949841981694595,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Aleksandar Kolarov,Roma,1.7716663001370367,2019/2020,8.0,6.5,0.8313872466215071,30,1.0839787889928665,30.4,1.0401132340251162,0.6573147370232315,-0.3114854545990244,-18.75,-0.003914729841541999,1.8718021769015913,-0.2076393647782444,33,-0.0040717623158208795,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Aleksandar Kolarov,Inter,2.0296893516367454,2020/2021,5.0,1.5,-1.8286346842252224,4,-1.5550759341824256,4.3,0.7742476238127879,1.6895933925704791,-0.5112015667507791,-70.0,-0.37868945354431777,0.4054651081081644,-1.203972804325936,34,-0.2931994095696512,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Alessandro Florenzi,Roma,-0.0344950603609234,2017/2018,20.0,30.0,0.8313872466215071,26,0.6952196602586752,26.5,0.053240886441750915,0.915384400910053,-0.5251499936312192,50.0,0.7267234705924528,3.4011973816621555,0.4054651081081646,26,0.03869140177236789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
